"antecedents_str","consequents_str","support","confidence","lift"
"{付費=否,焦慮_低,自學_高}","{依賴_低}",0.05636,0.685978578383642,1.28677279756826
"{倦怠=Low}","{依賴_低}",0.22446,0.685625267273505,1.28611004928438
"{倦怠=Low,自學_高}","{依賴_低}",0.08688,0.684957426679281,1.28485730009244
"{倦怠=Low,自學_低}","{依賴_低}",0.06312,0.684895833333333,1.28474176202088
"{AI時數_高,倦怠=Medium}","{付費=是}",0.0689,0.543375394321767,1.28433250052417
"{主修=Humanities,焦慮_低}","{依賴_低}",0.05506,0.684655558318826,1.28429104918182
"{付費=否,技能=Beginner,焦慮_低}","{依賴_低}",0.05918,0.684478371501272,1.28395867848672
"{倦怠=Low,技能=Beginner}","{依賴_低}",0.08358,0.683401471790679,1.28193860774841
"{主修=Business,倦怠=Low}","{依賴_低}",0.0573,0.683281659909373,1.28171386214476
"{付費=否,焦慮_低,自學_中}","{依賴_低}",0.05226,0.682601880877743,1.28043871858515
"{倦怠=Low,政策=Actively_Encouraged}","{依賴_低}",0.0689,0.678283126599724,1.27233751003512
"{付費=否,倦怠=Medium,焦慮_低}","{依賴_低}",0.06902,0.67640141121129,1.26880774941154
"{倦怠=Low,政策=Allowed_With_Citation}","{依賴_低}",0.1125,0.676081730769231,1.26820808623003
"{倦怠=Low,用途=Debugging/Troubleshooting}","{依賴_低}",0.05164,0.67556253270539,1.26723416376925
"{GPA_上升,倦怠=Low}","{依賴_低}",0.06992,0.675033790307009,1.26624233784845
"{付費=否,焦慮_低}","{依賴_低}",0.1566,0.674418604651163,1.26508835987838
"{倦怠=Low,年級=Freshman}","{依賴_低}",0.06216,0.674186550976139,1.26465306879786
"{付費=否,技能=Intermediate,焦慮_低}","{依賴_低}",0.05502,0.67409948542024,1.26448974942833
"{倦怠=Low,焦慮_中}","{依賴_低}",0.07568,0.674029212682579,1.26435793037438
"{焦慮_低,自學_高}","{依賴_低}",0.09008,0.673243647234679,1.26288435046835
"{AI時數_中,焦慮_低}","{依賴_低}",0.09358,0.673043728423475,1.26250933862967
"{GPA_持平,付費=否,焦慮_低}","{依賴_低}",0.05282,0.671156289707751,1.25896884207044
"{付費=否,政策=Allowed_With_Citation,焦慮_低}","{依賴_低}",0.08012,0.669787660926267,1.25640153991046
"{主修=STEM,倦怠=Low}","{依賴_低}",0.05772,0.669139809877116,1.25518628752038
"{付費=是,倦怠=Low}","{依賴_低}",0.08146,0.667376699983615,1.25187900953595
"{GPA_上升,付費=否,焦慮_低}","{依賴_低}",0.0501,0.665161975570898,1.2477245837008
"{焦慮_低,用途=Copywriting/Drafting}","{依賴_低}",0.06264,0.665109365045657,1.24762589579002
"{倦怠=High,自學_低}","{付費=是}",0.05472,0.527066075900597,1.24578348279426
"{AI時數_中,付費=否,焦慮_低}","{依賴_低}",0.05996,0.664008859357697,1.24556154447139
"{依賴_高,政策=Allowed_With_Citation}","{付費=是}",0.07188,0.526902213751649,1.24539617507717
"{依賴_高}","{付費=是}",0.13994,0.52173588844978,1.23318494953621
"{年級=Freshman,焦慮_低}","{依賴_低}",0.0555,0.656649313771888,1.23175635672836
"{倦怠=Medium,焦慮_低}","{依賴_低}",0.10944,0.655329341317365,1.2292803251123
"{GPA_下降,焦慮_低}","{依賴_低}",0.08228,0.655095541401274,1.22884175839669
"{技能=Beginner,焦慮_低}","{依賴_低}",0.09286,0.65477365674799,1.22823796051021
"{焦慮_低,自學_中}","{依賴_低}",0.08308,0.654482432645344,1.22769167631841
"{AI時數_中,倦怠=Low}","{依賴_低}",0.07906,0.65371258475277,1.22624757972757
"{依賴_高,技能=Beginner}","{付費=是}",0.05064,0.518533688306369,1.22561616787929
"{GPA_持平,焦慮_低}","{依賴_低}",0.08398,0.652728120628012,1.22440090157196
"{年級=Senior,焦慮_低}","{依賴_低}",0.0535,0.650851581508516,1.22088085070065
"{倦怠=High,政策=Allowed_With_Citation}","{付費=是}",0.06204,0.516053901181168,1.21975489548352
"{倦怠=Medium,政策=Allowed_With_Citation,焦慮_低}","{依賴_低}",0.05752,0.650237395432964,1.21972874776395
"{年級=Junior,焦慮_低}","{依賴_低}",0.05556,0.649672591206735,1.21866927632102
"{AI時數_中,付費=否,倦怠=Low}","{依賴_低}",0.05064,0.649563878912263,1.2184653515518
"{焦慮_低}","{依賴_低}",0.24954,0.649404049341592,1.21816553993921
"{主修=Business,焦慮_低}","{依賴_低}",0.063,0.64921681780709,1.21781432715642
"{技能=Intermediate,焦慮_低}","{依賴_低}",0.08744,0.646745562130178,1.213178694673
"{焦慮_低,用途=Ideation}","{依賴_低}",0.05292,0.645838418354894,1.21147705562726
"{技能=Advanced,焦慮_低}","{依賴_低}",0.06924,0.645654606490116,1.21113225753164
"{倦怠=High}","{付費=是}",0.12796,0.512372867782494,1.21105433436346
"{GPA_上升,焦慮_低}","{依賴_低}",0.08328,0.640615384615385,1.20167958097052
